code,title,units,prerequisites,corequisites,grading,ge_area,availability,details,url
BAN 310,Data Analysis with Python I(opens in a new tab),,,,,,,BAN 310 - Data Analysis with Python I (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189808
BAN 315,Data Analysis with Python II(opens in a new tab),,,,,,,BAN 315 - Data Analysis with Python II (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189809
BAN 320,Optimization and Simulation for Business Applications(opens in a new tab),,,,,,,BAN 320 - Optimization and Simulation for Business Applications (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-5; Sustainability,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189823
BAN 331,Database Management and SQL(opens in a new tab),,,,,,,BAN 331 - Database Management and SQL (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189810
BAN 340,Machine Learning for Business Applications(opens in a new tab),,,,,,,BAN 340 - Machine Learning for Business Applications (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189817
BAN 350,Data Wrangling and Data Pipeline(opens in a new tab),,,,,,,BAN 350 - Data Wrangling and Data Pipeline (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189818
BAN 441,Business Data Visualization and Reporting(opens in a new tab),,,,,,,BAN 441 - Business Data Visualization and Reporting (opens in a new tab) Units: 3 ; Breadth Area: Social Justice,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189802
BAN 449,Big Data Technology and Business Applications(opens in a new tab),,,,,,,BAN 449 - Big Data Technology and Business Applications (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189819
BAN 499,Capstone Seminar(opens in a new tab),,,,,,,BAN 499 - Capstone Seminar (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189820
CHEM 100,Introduction to College Chemistry(opens in a new tab),,,,,,,"CHEM 100 - Introduction to College Chemistry (opens in a new tab) Units: 4 ; Breadth Area: GE-5A, GE-5C",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186494
CHEM 110,General Chemistry for Engineering(opens in a new tab),,,,,,,"CHEM 110 - General Chemistry for Engineering (opens in a new tab) Units: 3 ; Breadth Area: GE-5A, GE-5C",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186495
CHEM 111,General Chemistry I(opens in a new tab),,,,,,,CHEM 111 - General Chemistry I (opens in a new tab) Units: 3 ; Breadth Area: GE-5A,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186496
CHEM 111L,General Chemistry Laboratory I(opens in a new tab),,,,,,,CHEM 111L - General Chemistry Laboratory I (opens in a new tab) Units: 2 ; Breadth Area: GE-5C,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189701
CHEM 112,General Chemistry II(opens in a new tab),,,,,,,CHEM 112 - General Chemistry II (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186497
CHEM 112L,General Chemistry Laboratory II(opens in a new tab),,,,,,,CHEM 112L - General Chemistry Laboratory II (opens in a new tab) Units: 2,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189902
CHEM 161,Basic Chemistry for the Health Sciences(opens in a new tab),,,,,,,"CHEM 161 - Basic Chemistry for the Health Sciences (opens in a new tab) Units: 4 ; Breadth Area: GE-5A, GE-5C",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186498
CHEM 162,Basic Biochemistry for the Health Sciences(opens in a new tab),,,,,,,CHEM 162 - Basic Biochemistry for the Health Sciences (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186501
CHEM 220,Quantitative Analysis(opens in a new tab),,,,,,,CHEM 220 - Quantitative Analysis (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186504
CHEM 230,Survey of Organic Chemistry(opens in a new tab),,,,,,,CHEM 230 - Survey of Organic Chemistry (opens in a new tab) Units: 5,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186508
CHEM 233,Fundamentals of Organic Chemistry(opens in a new tab),,,,,,,CHEM 233 - Fundamentals of Organic Chemistry (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187240
CHEM 311,Computers in Chemistry(opens in a new tab),,,,,,,CHEM 311 - Computers in Chemistry (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189723
CHEM 320,Bioanalytical and Forensic Instrumentation(opens in a new tab),,,,,,,CHEM 320 - Bioanalytical and Forensic Instrumentation (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186493
CHEM 325,Applied Water and Wastewater Analysis(opens in a new tab),,,,,,,CHEM 325 - Applied Water and Wastewater Analysis (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-5; Sustainability,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=190078
CHEM 331,Organic Chemistry I(opens in a new tab),,,,,,,CHEM 331 - Organic Chemistry I (opens in a new tab) Units: 5,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186511
CHEM 332,Organic Chemistry II(opens in a new tab),,,,,,,CHEM 332 - Organic Chemistry II (opens in a new tab) Units: 5,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186512
CHEM 340,Survey of Biochemistry(opens in a new tab),,,,,,,CHEM 340 - Survey of Biochemistry (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186513
CHEM 351,Physical Chemistry I(opens in a new tab),,,,,,,CHEM 351 - Physical Chemistry I (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186603
CHEM 352,Physical Chemistry II(opens in a new tab),,,,,,,CHEM 352 - Physical Chemistry II (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186604
CHEM 355,Physical Chemistry Laboratory(opens in a new tab),,,,,,,CHEM 355 - Physical Chemistry Laboratory (opens in a new tab) Units: 2,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186606
CHEM 398,Internship(opens in a new tab),,,,,,,CHEM 398 - Internship (opens in a new tab) Units: 1-3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188964
CHEM 410,Advanced Inorganic Chemistry(opens in a new tab),,,,,,,CHEM 410 - Advanced Inorganic Chemistry (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186499
CHEM 415,Inorganic Chemistry Laboratory(opens in a new tab),,,,,,,CHEM 415 - Inorganic Chemistry Laboratory (opens in a new tab) Units: 2,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186605
CHEM 420,Instrumental Analysis(opens in a new tab),,,,,,,CHEM 420 - Instrumental Analysis (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186516
CHEM 425,Environmental Chemistry and Modeling(opens in a new tab),,,,,,,CHEM 425 - Environmental Chemistry and Modeling (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186514
CHEM 441,Biochemistry I(opens in a new tab),,,,,,,CHEM 441 - Biochemistry I (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186515
CHEM 442,Biochemistry II(opens in a new tab),,,,,,,CHEM 442 - Biochemistry II (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186517
CHEM 443,Biochemistry Laboratory I(opens in a new tab),,,,,,,CHEM 443 - Biochemistry Laboratory I (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186518
CHEM 444,Biochemistry Laboratory II(opens in a new tab),,,,,,,CHEM 444 - Biochemistry Laboratory II (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186607
CHEM 445,Protein Structure(opens in a new tab),,,,,,,CHEM 445 - Protein Structure (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186503
CHEM 446,Nucleic Acid Chemistry(opens in a new tab),,,,,,,CHEM 446 - Nucleic Acid Chemistry (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186505
CHEM 447,Major Organ Biochemistry(opens in a new tab),,,,,,,CHEM 447 - Major Organ Biochemistry (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186506
CHEM 450,Classical and Statistical Thermodynamics(opens in a new tab),,,,,,,CHEM 450 - Classical and Statistical Thermodynamics (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186632
CHEM 470,Chemical Literature(opens in a new tab),,,,,,,CHEM 470 - Chemical Literature (opens in a new tab) Units: 1,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186507
CHEM 480,Undergraduate Research(opens in a new tab),,,,,,,CHEM 480 - Undergraduate Research (opens in a new tab) Units: 1-2,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186597
CHEM 481,Senior Thesis(opens in a new tab),,,,,,,CHEM 481 - Senior Thesis (opens in a new tab) Units: 1-2,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186598
CHEM 490,Independent Study(opens in a new tab),,,,,,,CHEM 490 - Independent Study (opens in a new tab) Units: 1-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186599
CHEM 497,Issues in Chemistry(opens in a new tab),,,,,,,CHEM 497 - Issues in Chemistry (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188965
CHEM 498,Internship(opens in a new tab),,,,,,,CHEM 498 - Internship (opens in a new tab) Units: 1-3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189398
CHEM 106,Chemistry and Society(opens in a new tab),,,,,,,CHEM 106 - Chemistry and Society (opens in a new tab) Units: 3 ; Breadth Area: GE-5A; Sustainability,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188350
CHEM 304,Chemistry of Wine Making(opens in a new tab),,,,,,,CHEM 304 - Chemistry of Wine Making (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-5,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188487
CHEM 305,Chemistry of Spices(opens in a new tab),,,,,,,CHEM 305 - Chemistry of Spices (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-5; Sustainability,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189903
CHEM 306,Green Chemistry and Sustainability(opens in a new tab),,,,,,,CHEM 306 - Green Chemistry and Sustainability (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-5; Sustainability,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188486
CHEM 621,Molecular Spectroscopy(opens in a new tab),,,,,,,CHEM 621 - Molecular Spectroscopy (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186824
CHEM 631,Graduate Organic Chemistry(opens in a new tab),,,,,,,CHEM 631 - Graduate Organic Chemistry (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186825
CHEM 641,Graduate Biochemistry(opens in a new tab),,,,,,,CHEM 641 - Graduate Biochemistry (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186826
CHEM 642,Protein Chemistry Techniques(opens in a new tab),,,,,,,CHEM 642 - Protein Chemistry Techniques (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186829
CHEM 651,Graduate Physical Chemistry(opens in a new tab),,,,,,,CHEM 651 - Graduate Physical Chemistry (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186827
CHEM 652,Computational Chemistry(opens in a new tab),,,,,,,CHEM 652 - Computational Chemistry (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186828
CHEM 670,Scientific Writing in Chemistry and Biochemistry(opens in a new tab),,,,,,,CHEM 670 - Scientific Writing in Chemistry and Biochemistry (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=190054
CHEM 680,Seminar(opens in a new tab),,,,,,,CHEM 680 - Seminar (opens in a new tab) Units: 1,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186991
CHEM 681,Research(opens in a new tab),,,,,,,CHEM 681 - Research (opens in a new tab) Units: 1-2,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186820
CHEM 690,Independent Study(opens in a new tab),,,,,,,CHEM 690 - Independent Study (opens in a new tab) Units: 1-3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186821
CHEM 691,University Thesis(opens in a new tab),,,,,,,CHEM 691 - University Thesis (opens in a new tab) Units: 2,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186822
CHEM 692,Comprehensive Exam(opens in a new tab),,,,,,,CHEM 692 - Comprehensive Exam (opens in a new tab) Units: 2,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186823
CHEM 693,Capstone Project in Chemistry or Biochemistry(opens in a new tab),,,,,,,CHEM 693 - Capstone Project in Chemistry or Biochemistry (opens in a new tab) Units: 2,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186990
CHEM 697,Issues in Chemistry(opens in a new tab),,,,,,,CHEM 697 - Issues in Chemistry (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186830
CHEM 698,Internship(opens in a new tab),,,,,,,CHEM 698 - Internship (opens in a new tab) Units: 1-3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188966
CIVE 206,Engineering Materials and Laboratory(opens in a new tab),,,,,,,CIVE 206 - Engineering Materials and Laboratory (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189772
CIVE 319,Fluid Mechanics(opens in a new tab),,,,,,,CIVE 319 - Fluid Mechanics (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189789
CIVE 330,Strength of Materials(opens in a new tab),,,,,,,CIVE 330 - Strength of Materials (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189774
CIVE 345,Engineering Dynamics and Fundamentals of Seismicity(opens in a new tab),,,,,,,CIVE 345 - Engineering Dynamics and Fundamentals of Seismicity (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189848
CIVE 350,Geotechnical Engineering(opens in a new tab),,,,,,,CIVE 350 - Geotechnical Engineering (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189775
CIVE 361,Transportation Engineering(opens in a new tab),,,,,,,CIVE 361 - Transportation Engineering (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189776
CIVE 385,Structural Analysis(opens in a new tab),,,,,,,CIVE 385 - Structural Analysis (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189793
CIVE 410,Hydraulics and Water Resources(opens in a new tab),,,,,,,CIVE 410 - Hydraulics and Water Resources (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189777
CIVE 421,Structural Engineering Design(opens in a new tab),,,,,,,CIVE 421 - Structural Engineering Design (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189794
CIVE 430,Environmental Engineering(opens in a new tab),,,,,,,CIVE 430 - Environmental Engineering (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189795
CIVE 435,Highway and Pavement Design(opens in a new tab),,,,,,,CIVE 435 - Highway and Pavement Design (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189778
CIVE 440,Construction Engineering(opens in a new tab),,,,,,,CIVE 440 - Construction Engineering (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189779
CIVE 492,Senior Design Project(opens in a new tab),,,,,,,CIVE 492 - Senior Design Project (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189796
CLAS 105,Navigating Your First Year in College(opens in a new tab),,,,,,,CLAS 105 - Navigating Your First Year in College (opens in a new tab) Units: 2,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189878
SCI 130,Connecting to STEM Majors(opens in a new tab),,,,,,,SCI 130 - Connecting to STEM Majors (opens in a new tab) Units: 2,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189749
SCI 308,Hands-On Science Teaching(opens in a new tab),,,,,,,SCI 308 - Hands-On Science Teaching (opens in a new tab) Units: 1,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187407
SCI 330,Supporting STEM Researchers(opens in a new tab),,,,,,,SCI 330 - Supporting STEM Researchers (opens in a new tab) Units: 1,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=190025
COMM 100,Public Speaking(opens in a new tab),,,,,,,COMM 100 - Public Speaking (opens in a new tab) Units: 3 ; Breadth Area: GE-1C,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188347
COMM 104,Interpersonal Communication(opens in a new tab),,,,,,,COMM 104 - Interpersonal Communication (opens in a new tab) Units: 3 ; Breadth Area: GE-1C,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188338
COMM 202,"Communication, Media and Culture(opens in a new tab)",,,,,,,"COMM 202 - Communication, Media and Culture (opens in a new tab) Units: 4",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187584
COMM 203,Communication Theories(opens in a new tab),,,,,,,COMM 203 - Communication Theories (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187611
COMM 206,New Media in the Digital Age(opens in a new tab),,,,,,,COMM 206 - New Media in the Digital Age (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187614
COMM 224,Argumentation and Advocacy(opens in a new tab),,,,,,,COMM 224 - Argumentation and Advocacy (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187615
COMM 240,Visual Communication and Culture(opens in a new tab),,,,,,,COMM 240 - Visual Communication and Culture (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187618
COMM 255,Queer Cultures: Knowledge and Literacy(opens in a new tab),,,,,,,COMM 255 - Queer Cultures: Knowledge and Literacy (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187605
COMM 256,Persuasion Theory and Practice(opens in a new tab),,,,,,,COMM 256 - Persuasion Theory and Practice (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187616
COMM 260,Documentary Film Studies(opens in a new tab),,,,,,,COMM 260 - Documentary Film Studies (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188343
COMM 266,Digital Media Production Abroad(opens in a new tab),,,,,,,COMM 266 - Digital Media Production Abroad (opens in a new tab) Units: 3 ; Breadth Area: GE-3B,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189128
COMM 300,History and Criticism of Communication(opens in a new tab),,,,,,,COMM 300 - History and Criticism of Communication (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187644
COMM 304,Quantitative Communication Research Methods(opens in a new tab),,,,,,,COMM 304 - Quantitative Communication Research Methods (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187612
COMM 305,Qualitative Communication Research Methods(opens in a new tab),,,,,,,COMM 305 - Qualitative Communication Research Methods (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187613
COMM 310,Introduction to Organizational Communication & Long Term Thinking(opens in a new tab),,,,,,,COMM 310 - Introduction to Organizational Communication & Long Term Thinking (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187643
COMM 312,Media History and Social Justice(opens in a new tab),,,,,,,COMM 312 - Media History and Social Justice (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187641
COMM 314,Media Theory and Practice(opens in a new tab),,,,,,,COMM 314 - Media Theory and Practice (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188461
COMM 316,Media and Government(opens in a new tab),,,,,,,COMM 316 - Media and Government (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188933
COMM 318,Media Law and Ethics(opens in a new tab),,,,,,,COMM 318 - Media Law and Ethics (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187719
COMM 320,Persuasion in Media(opens in a new tab),,,,,,,COMM 320 - Persuasion in Media (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187855
COMM 321,Research in Persuasive Communication(opens in a new tab),,,,,,,COMM 321 - Research in Persuasive Communication (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187815
COMM 323,Communication of Difference(opens in a new tab),,,,,,,COMM 323 - Communication of Difference (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187857
COMM 326,Social Media and Social Change Literacies(opens in a new tab),,,,,,,COMM 326 - Social Media and Social Change Literacies (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187846
COMM 328,Multimedia Reporting & Writing I(opens in a new tab),,,,,,,COMM 328 - Multimedia Reporting & Writing I (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187781
COMM 330,Critical/Cultural Studies(opens in a new tab),,,,,,,COMM 330 - Critical/Cultural Studies (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187856
COMM 333,Photojournalism(opens in a new tab),,,,,,,COMM 333 - Photojournalism (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187720
COMM 335,Visual and Multimedia Storytelling I(opens in a new tab),,,,,,,COMM 335 - Visual and Multimedia Storytelling I (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187782
COMM 337,Podcasting and Radio(opens in a new tab),,,,,,,COMM 337 - Podcasting and Radio (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189688
COMM 357,Principles of Advertising(opens in a new tab),,,,,,,COMM 357 - Principles of Advertising (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187816
COMM 358,Principles of Public Relations(opens in a new tab),,,,,,,COMM 358 - Principles of Public Relations (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187817
COMM 369,Documentary History and Theory Abroad(opens in a new tab),,,,,,,COMM 369 - Documentary History and Theory Abroad (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188488
COMM 387,Advertising Design and Production(opens in a new tab),,,,,,,COMM 387 - Advertising Design and Production (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187884
COMM 388,Public Relations Practice(opens in a new tab),,,,,,,COMM 388 - Public Relations Practice (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187887
COMM 398,Internship(opens in a new tab),,,,,,,COMM 398 - Internship (opens in a new tab) Units: 1-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188932
COMM 400,"Film, Communication and Culture(opens in a new tab)",,,,,,,"COMM 400 - Film, Communication and Culture (opens in a new tab) Units: 4",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187858
COMM 404,Qualitative Study of Communication: Methods II(opens in a new tab),,,,,,,COMM 404 - Qualitative Study of Communication: Methods II (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189998
COMM 410,Organizing Cultures of Innovation and Empathy(opens in a new tab),,,,,,,COMM 410 - Organizing Cultures of Innovation and Empathy (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187847
COMM 416,"Communication, Technology, and Social Change(opens in a new tab)",,,,,,,"COMM 416 - Communication, Technology, and Social Change (opens in a new tab) Units: 4",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187852
COMM 417,Game Studies(opens in a new tab),,,,,,,COMM 417 - Game Studies (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187853
COMM 420,Organizational Transformation(opens in a new tab),,,,,,,COMM 420 - Organizational Transformation (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187848
COMM 425,Digital Cultures(opens in a new tab),,,,,,,COMM 425 - Digital Cultures (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187851
COMM 428,Multimedia Reporting and Writing II(opens in a new tab),,,,,,,COMM 428 - Multimedia Reporting and Writing II (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187783
COMM 433,Discourses of Difference(opens in a new tab),,,,,,,COMM 433 - Discourses of Difference (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187617
COMM 435,Visual and Multimedia Storytelling II(opens in a new tab),,,,,,,COMM 435 - Visual and Multimedia Storytelling II (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187785
COMM 444,Re-Thinking Identity and Difference(opens in a new tab),,,,,,,COMM 444 - Re-Thinking Identity and Difference (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189960
COMM 453,Strategic Communication Campaigns(opens in a new tab),,,,,,,COMM 453 - Strategic Communication Campaigns (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187835
COMM 455,"Communication, Media, and Society(opens in a new tab)",,,,,,,"COMM 455 - Communication, Media, and Society (opens in a new tab) Units: 4",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187601
COMM 458,Feminist Rhetoric(opens in a new tab),,,,,,,COMM 458 - Feminist Rhetoric (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189961
