code,title,units,prerequisites,corequisites,grading,ge_area,availability,details,url
PHYS 460,Astrophysics(opens in a new tab),,,,,,,PHYS 460 - Astrophysics (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187593
PHYS 461,Atomic Physics(opens in a new tab),,,,,,,PHYS 461 - Atomic Physics (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186931
PHYS 462,Solid State Physics(opens in a new tab),,,,,,,PHYS 462 - Solid State Physics (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186932
PHYS 463,Particle Physics(opens in a new tab),,,,,,,PHYS 463 - Particle Physics (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186933
PHYS 480,"Advanced Laboratory III: Modeling, Design, and Analysis(opens in a new tab)",,,,,,,"PHYS 480 - Advanced Laboratory III: Modeling, Design, and Analysis (opens in a new tab) Units: 3",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186929
PHYS 481,Advanced Laboratory: Projects(opens in a new tab),,,,,,,PHYS 481 - Advanced Laboratory: Projects (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186930
PHYS 485,Undergraduate Research(opens in a new tab),,,,,,,PHYS 485 - Undergraduate Research (opens in a new tab) Units: 1-2,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189446
PHYS 490,Independent Study(opens in a new tab),,,,,,,PHYS 490 - Independent Study (opens in a new tab) Units: 1-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189035
PHYS 495,Physics Practicum(opens in a new tab),,,,,,,PHYS 495 - Physics Practicum (opens in a new tab) Units: 1,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189241
PHYS 497,Issues in Physics(opens in a new tab),,,,,,,PHYS 497 - Issues in Physics (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188071
PHYS 498,Internship(opens in a new tab),,,,,,,PHYS 498 - Internship (opens in a new tab) Units: 1-3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189428
ASTR 108,Astronomy of Indigenous Cultures(opens in a new tab),,,,,,,ASTR 108 - Astronomy of Indigenous Cultures (opens in a new tab) Units: 3 ; Breadth Area: GE-5A; Diversity,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188555
ASTR 138,Descriptive Astronomy(opens in a new tab),,,,,,,ASTR 138 - Descriptive Astronomy (opens in a new tab) Units: 3 ; Breadth Area: GE-5A,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186923
ASTR 139,Astronomy Laboratory(opens in a new tab),,,,,,,ASTR 139 - Astronomy Laboratory (opens in a new tab) Units: 1 ; Breadth Area: GE-5C,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186924
ASTR 338,The Cosmos(opens in a new tab),,,,,,,ASTR 338 - The Cosmos (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-5,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186937
ASTR 339,Stars and Galaxies(opens in a new tab),,,,,,,ASTR 339 - Stars and Galaxies (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-5,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186938
POSC 101,American Political Institutions(opens in a new tab),,,,,,,"POSC 101 - American Political Institutions (opens in a new tab) Units: 3 ; Breadth Area: GE-4; US-1, US-2",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188065
POSC 300,The Study of Political Science(opens in a new tab),,,,,,,POSC 300 - The Study of Political Science (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187326
POSC 356,Climate Change Politics & Policy: Global Governance(opens in a new tab),,,,,,,POSC 356 - Climate Change Politics & Policy: Global Governance (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4; Sustainability,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189760
POSC 384,"Climate Politics & Policy: The US, CA & the Bay(opens in a new tab)",,,,,,,"POSC 384 - Climate Politics & Policy: The US, CA & the Bay (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-4; Sustainability",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189761
POSC 398,Internship(opens in a new tab),,,,,,,POSC 398 - Internship (opens in a new tab) Units: 1-3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189429
POSC 398A,Market Yourself: Career Readiness in Public Service(opens in a new tab),,,,,,,POSC 398A - Market Yourself: Career Readiness in Public Service (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=190073
POSC 490,Independent Study(opens in a new tab),,,,,,,POSC 490 - Independent Study (opens in a new tab) Units: 1-3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187280
POSC 495,Political Internship(opens in a new tab),,,,,,,POSC 495 - Political Internship (opens in a new tab) Units: 1-3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188403
POSC 497,Issues in Political Science(opens in a new tab),,,,,,,POSC 497 - Issues in Political Science (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187278
POSC 498,Internship(opens in a new tab),,,,,,,POSC 498 - Internship (opens in a new tab) Units: 1-3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187279
POSC 499,Capstone(opens in a new tab),,,,,,,POSC 499 - Capstone (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187269
